"year","month","gov_gop","sen_gop","rep_gop","gov_dem","sen_dem","rep_dem","president","close","unemployment_rate"
1947,"Jan",23,51,253,23,45,198,"dem",NA,NA
1947,"Feb",23,51,253,23,45,198,"dem",NA,NA
1947,"Mar",23,51,253,23,45,198,"dem",NA,NA
1947,"Apr",23,51,253,23,45,198,"dem",NA,NA
1947,"May",23,51,253,23,45,198,"dem",NA,NA
1947,"Jun",23,51,253,23,45,198,"dem",NA,NA
1947,"Jul",23,51,253,23,45,198,"dem",NA,NA
1947,"Aug",23,51,253,23,45,198,"dem",NA,NA
1947,"Sep",23,51,253,23,45,198,"dem",NA,NA
1947,"Oct",23,51,253,23,45,198,"dem",NA,NA
1947,"Nov",24,51,253,23,45,198,"dem",NA,NA
1947,"Dec",24,51,253,23,45,198,"dem",NA,NA
1948,"Jan",22,53,253,24,48,198,"dem",NA,3.4
1948,"Feb",22,53,253,24,48,198,"dem",NA,3.8
1948,"Mar",22,53,253,24,48,198,"dem",NA,4
1948,"Apr",22,53,253,24,48,198,"dem",NA,3.9
1948,"May",22,53,253,24,48,198,"dem",NA,3.5
1948,"Jun",22,53,253,24,48,198,"dem",NA,3.6
1948,"Jul",22,53,253,24,48,198,"dem",NA,3.6
1948,"Aug",22,53,253,24,48,198,"dem",NA,3.9
1948,"Sep",22,53,253,24,48,198,"dem",NA,3.8
1948,"Oct",22,53,253,24,48,198,"dem",NA,3.7
1948,"Nov",22,53,253,24,48,198,"dem",NA,3.8
1948,"Dec",22,53,253,24,48,198,"dem",NA,4
1949,"Jan",18,45,177,29,58,269,"dem",NA,4.3
1949,"Feb",18,45,177,29,58,269,"dem",NA,4.7
1949,"Mar",18,45,177,29,58,269,"dem",NA,5
1949,"Apr",18,45,177,29,58,269,"dem",NA,5.3
1949,"May",18,45,177,29,58,269,"dem",NA,6.1
1949,"Jun",18,45,177,29,58,269,"dem",NA,6.2
1949,"Jul",18,45,177,30,58,269,"dem",NA,6.7
1949,"Aug",18,45,177,30,58,269,"dem",NA,6.8
1949,"Sep",18,45,177,30,58,269,"dem",NA,6.6
1949,"Oct",18,45,177,30,58,269,"dem",NA,7.9
1949,"Nov",18,45,177,30,58,269,"dem",NA,6.4
1949,"Dec",18,45,177,30,58,269,"dem",NA,6.6
1950,"Jan",18,44,177,29,57,269,"dem",NA,6.5
1950,"Feb",18,44,177,29,57,269,"dem",NA,6.4
1950,"Mar",18,44,177,29,57,269,"dem",NA,6.3
1950,"Apr",18,44,177,29,57,269,"dem",NA,5.8
1950,"May",18,44,177,29,57,269,"dem",NA,5.5
1950,"Jun",18,44,177,29,57,269,"dem",NA,5.4
1950,"Jul",18,44,177,29,57,269,"dem",NA,5
1950,"Aug",18,44,177,29,57,269,"dem",NA,4.5
1950,"Sep",18,44,177,29,57,269,"dem",NA,4.4
1950,"Oct",18,44,177,29,57,269,"dem",NA,4.2
1950,"Nov",18,44,177,29,57,269,"dem",NA,4.2
1950,"Dec",18,44,177,29,57,269,"dem",NA,4.3
1951,"Jan",24,47,207,22,51,242,"dem",NA,3.7
1951,"Feb",24,47,207,22,51,242,"dem",NA,3.4
1951,"Mar",24,47,207,22,51,242,"dem",NA,3.4
1951,"Apr",24,47,207,22,51,242,"dem",NA,3.1
1951,"May",24,47,207,22,51,242,"dem",NA,3
1951,"Jun",24,47,207,22,51,242,"dem",NA,3.2
1951,"Jul",24,47,207,22,51,242,"dem",NA,3.1
1951,"Aug",24,47,207,22,51,242,"dem",NA,3.1
1951,"Sep",24,47,207,22,51,242,"dem",NA,3.3
1951,"Oct",25,47,207,22,51,242,"dem",NA,3.5
1951,"Nov",25,47,207,22,51,242,"dem",NA,3.5
1951,"Dec",25,47,207,22,51,242,"dem",NA,3.1
1952,"Jan",24,50,207,22,50,242,"dem",NA,3.2
1952,"Feb",24,50,207,22,50,242,"dem",NA,3.1
1952,"Mar",24,50,207,22,50,242,"dem",NA,2.9
1952,"Apr",24,50,207,22,50,242,"dem",NA,2.9
1952,"May",24,50,207,22,50,242,"dem",NA,3
1952,"Jun",24,50,207,22,50,242,"dem",NA,3
1952,"Jul",24,50,207,22,50,242,"dem",NA,3.2
1952,"Aug",24,50,207,22,50,242,"dem",NA,3.4
1952,"Sep",24,50,207,22,50,242,"dem",NA,3.1
1952,"Oct",24,50,207,22,50,242,"dem",NA,3
1952,"Nov",24,50,207,22,50,242,"dem",NA,2.8
1952,"Dec",24,50,207,22,50,242,"dem",NA,2.7
1953,"Jan",29,50,222,17,49,220,"dem",NA,2.9
1953,"Feb",29,50,222,17,49,220,"dem",NA,2.6
1953,"Mar",29,50,222,17,49,220,"dem",NA,2.6
1953,"Apr",29,50,222,17,49,220,"dem",NA,2.7
1953,"May",29,50,222,17,49,220,"dem",NA,2.5
1953,"Jun",29,50,222,17,49,220,"dem",NA,2.5
1953,"Jul",29,50,222,17,49,220,"dem",NA,2.6
1953,"Aug",29,50,222,17,49,220,"dem",NA,2.7
1953,"Sep",29,50,222,17,49,220,"dem",NA,2.9
1953,"Oct",30,50,222,18,49,220,"dem",NA,3.1
1953,"Nov",30,50,222,18,49,220,"dem",NA,3.5
1953,"Dec",30,50,222,18,49,220,"dem",NA,4.5
1954,"Jan",29,55,222,18,53,220,"dem",NA,4.9
1954,"Feb",29,55,222,18,53,220,"dem",NA,5.2
1954,"Mar",29,55,222,18,53,220,"dem",NA,5.7
1954,"Apr",29,55,222,18,53,220,"dem",NA,5.9
1954,"May",29,55,222,18,53,220,"dem",NA,5.9
1954,"Jun",29,55,222,18,53,220,"dem",NA,5.6
1954,"Jul",29,55,222,18,53,220,"dem",NA,5.8
1954,"Aug",29,55,222,18,53,220,"dem",NA,6
1954,"Sep",29,55,222,18,53,220,"dem",NA,6.1
1954,"Oct",29,55,222,18,53,220,"dem",NA,5.7
1954,"Nov",29,55,222,19,53,220,"dem",NA,5.3
1954,"Dec",29,55,222,19,53,220,"dem",NA,5
1955,"Jan",21,47,204,26,48,237,"dem",NA,4.9
1955,"Feb",21,47,204,26,48,237,"dem",NA,4.7
1955,"Mar",21,47,204,26,48,237,"dem",NA,4.6
1955,"Apr",21,47,204,26,48,237,"dem",NA,4.7
1955,"May",21,47,204,26,48,237,"dem",NA,4.3
1955,"Jun",21,47,204,26,48,237,"dem",NA,4.2
1955,"Jul",21,47,204,26,48,237,"dem",NA,4
1955,"Aug",21,47,204,26,48,237,"dem",NA,4.2
1955,"Sep",21,47,204,26,48,237,"dem",NA,4.1
1955,"Oct",21,47,204,26,48,237,"dem",NA,4.3
1955,"Nov",21,47,204,26,48,237,"dem",NA,4.2
1955,"Dec",21,47,204,26,48,237,"dem",NA,4.2
1956,"Jan",21,49,204,26,51,237,"dem",NA,4
1956,"Feb",21,49,204,26,51,237,"dem",NA,3.9
1956,"Mar",21,49,204,26,51,237,"dem",NA,4.2
1956,"Apr",21,49,204,26,50,237,"dem",NA,4
1956,"May",21,49,204,26,50,237,"dem",NA,4.3
1956,"Jun",21,49,204,26,50,237,"dem",NA,4.3
1956,"Jul",21,49,204,26,50,237,"dem",NA,4.4
1956,"Aug",21,49,204,26,50,237,"dem",NA,4.1
1956,"Sep",21,49,204,26,50,237,"dem",NA,3.9
1956,"Oct",21,49,204,26,50,237,"dem",NA,3.9
1956,"Nov",21,49,204,26,51,237,"dem",NA,4.3
1956,"Dec",21,49,204,26,51,237,"dem",NA,4.2
1957,"Jan",19,47,203,28,52,242,"dem",NA,4.2
1957,"Feb",19,47,203,28,52,242,"dem",NA,3.9
1957,"Mar",19,47,203,28,52,242,"dem",NA,3.7
1957,"Apr",19,47,203,28,52,242,"dem",NA,3.9
1957,"May",19,47,203,28,52,242,"dem",NA,4.1
1957,"Jun",19,47,203,28,52,242,"dem",NA,4.3
1957,"Jul",19,47,203,28,52,242,"dem",NA,4.2
1957,"Aug",19,47,203,28,52,242,"dem",NA,4.1
1957,"Sep",20,47,203,28,52,242,"dem",NA,4.4
1957,"Oct",20,47,203,28,52,242,"dem",NA,4.5
1957,"Nov",20,47,203,28,52,242,"dem",NA,5.1
1957,"Dec",20,47,203,28,52,242,"dem",NA,5.2
1958,"Jan",20,47,203,28,52,242,"dem",NA,5.8
1958,"Feb",20,47,203,28,52,242,"dem",NA,6.4
1958,"Mar",20,47,203,28,52,242,"dem",NA,6.7
1958,"Apr",20,47,203,28,52,242,"dem",NA,7.4
1958,"May",20,47,203,28,52,242,"dem",NA,7.4
1958,"Jun",20,47,203,28,52,242,"dem",NA,7.3
1958,"Jul",20,47,203,28,52,242,"dem",NA,7.5
1958,"Aug",20,47,203,28,52,242,"dem",NA,7.4
1958,"Sep",20,47,203,28,52,242,"dem",NA,7.1
1958,"Oct",20,47,203,28,52,242,"dem",NA,6.7
1958,"Nov",20,47,203,28,52,242,"dem",NA,6.2
1958,"Dec",20,47,203,28,52,242,"dem",NA,6.2
1959,"Jan",15,35,159,35,65,289,"dem",NA,6
1959,"Feb",15,35,159,35,65,289,"dem",NA,5.9
1959,"Mar",15,35,159,35,65,289,"dem",NA,5.6
1959,"Apr",15,35,159,35,65,289,"dem",NA,5.2
1959,"May",15,35,159,35,65,289,"dem",NA,5.1
1959,"Jun",15,35,159,35,65,289,"dem",NA,5
1959,"Jul",15,35,159,35,65,289,"dem",NA,5.1
1959,"Aug",15,35,159,35,65,289,"dem",NA,5.2
1959,"Sep",15,35,159,35,65,289,"dem",NA,5.5
1959,"Oct",15,35,159,35,65,289,"dem",NA,5.7
1959,"Nov",15,35,159,35,65,289,"dem",NA,5.8
1959,"Dec",15,35,159,35,65,289,"dem",NA,5.3
1960,"Jan",16,35,159,34,70,289,"dem",NA,5.2
1960,"Feb",16,35,159,34,70,289,"dem",NA,4.8
1960,"Mar",16,35,159,34,70,289,"dem",NA,5.4
1960,"Apr",16,35,159,34,70,289,"dem",NA,5.2
1960,"May",16,35,159,34,70,289,"dem",NA,5.1
1960,"Jun",16,35,159,34,70,289,"dem",NA,5.4
1960,"Jul",16,35,159,34,70,289,"dem",NA,5.5
1960,"Aug",16,35,159,34,70,289,"dem",NA,5.6
1960,"Sep",17,35,159,34,70,289,"dem",NA,5.5
1960,"Oct",17,35,159,34,70,289,"dem",NA,6.1
1960,"Nov",17,35,159,34,70,289,"dem",NA,6.1
1960,"Dec",17,35,159,34,70,289,"dem",NA,6.6
1961,"Jan",16,37,176,34,64,273,"dem",NA,6.6
1961,"Feb",16,37,176,34,64,273,"dem",NA,6.9
1961,"Mar",16,37,176,34,64,273,"dem",NA,6.9
1961,"Apr",16,37,176,34,64,273,"dem",NA,7
1961,"May",16,37,176,34,64,273,"dem",NA,7.1
1961,"Jun",16,37,176,34,64,273,"dem",NA,6.9
1961,"Jul",16,37,176,34,64,273,"dem",NA,7
1961,"Aug",16,37,176,34,64,273,"dem",NA,6.6
1961,"Sep",16,37,176,34,64,273,"dem",NA,6.7
1961,"Oct",16,37,176,34,64,273,"dem",NA,6.5
1961,"Nov",16,37,176,34,64,273,"dem",NA,6.1
1961,"Dec",16,37,176,34,64,273,"dem",NA,6
1962,"Jan",16,42,176,34,65,273,"dem",NA,5.8
1962,"Feb",16,42,176,34,65,273,"dem",NA,5.5
1962,"Mar",16,42,176,34,65,273,"dem",NA,5.6
1962,"Apr",16,42,176,34,65,273,"dem",NA,5.6
1962,"May",16,42,176,34,65,273,"dem",NA,5.5
1962,"Jun",16,42,176,34,65,273,"dem",NA,5.5
1962,"Jul",16,42,176,34,65,273,"dem",NA,5.4
1962,"Aug",16,42,176,34,65,273,"dem",NA,5.7
1962,"Sep",16,42,176,34,65,273,"dem",NA,5.6
1962,"Oct",16,42,176,34,65,273,"dem",NA,5.4
1962,"Nov",16,42,176,34,65,273,"dem",NA,5.7
1962,"Dec",16,42,176,34,65,273,"dem",NA,5.5
1963,"Jan",17,34,182,33,68,262,"dem",NA,5.7
1963,"Feb",17,34,182,33,68,262,"dem",NA,5.9
1963,"Mar",16,34,182,34,68,262,"dem",NA,5.7
1963,"Apr",16,34,182,34,68,262,"dem",NA,5.7
1963,"May",16,34,182,34,68,262,"dem",NA,5.9
1963,"Jun",16,34,182,34,68,262,"dem",NA,5.6
